id,category,title,author,date,comments,image,content,tags,read_time,excerpt,views
1,CAP_NHAT_DICH_VU,"Hướng dẫn sử dụng nhà ga Bến Thành Metro","Nguyễn Văn An","2025-01-15 08:30:00",45,"/images/blog/ben-thanh-station.jpg","Nhà ga Bến Thành là trung tâm giao thông quan trọng của hệ thống Metro TP.HCM. Bài viết này sẽ hướng dẫn chi tiết cách di chuyển trong nhà ga, từ lối vào đến các tuyến tàu khác nhau. Hãy theo dõi các biển chỉ dẫn màu xanh để đến tuyến số 1, màu đỏ cho tuyến số 2. Khu vực mua vé nằm ở tầng trệt, với các máy bán vé tự động hỗ trợ tiếng Việt và tiếng Anh.","HUONG_DAN_NHA_GA|VE_DIEN_TU","5 phút","Khám phá cách sử dụng hiệu quả nhà ga Bến Thành với những mẹo hữu ích từ chuyên gia.",1250
2,HUONG_DAN_AN_TOAN,"An toàn khi di chuyển bằng tàu Metro","Trần Thị Bình","2025-01-14 14:20:00",32,"/images/blog/metro-safety.jpg","An toàn luôn là ưu tiên hàng đầu khi sử dụng hệ thống tàu điện ngầm. Trong bài viết này, chúng tôi sẽ chia sẻ những quy tắc vàng để đảm bảo chuyến đi an toàn: Luôn đứng sau vạch vàng khi chờ tàu, để hành khách xuống trước khi lên tàu, giữ chắc tay vịn khi tàu di chuyển. Đặc biệt lưu ý với trẻ em và người cao tuổi cần được hỗ trợ đặc biệt.","HUONG_DAN_NHA_GA|TIEN_NGHI_NGUOI_KHUYET_TAT","7 phút","Những nguyên tắc an toàn cơ bản mà mọi hành khách cần biết khi sử dụng Metro.",890
3,MEO_CHO_HANH_KHACH,"Mẹo tránh tắc nghẽn giờ cao điểm","Lê Minh Cường","2025-01-13 09:15:00",78,"/images/blog/rush-hour-tips.jpg","Giờ cao điểm từ 7-9h sáng và 17-19h chiều là thời gian đông đúc nhất. Để di chuyển thuận tiện, hãy áp dụng những mẹo sau: Khởi hành sớm hơn 15-20 phút, sử dụng ứng dụng Metro HCM để xem tình trạng tàu real-time, chọn toa cuối hoặc đầu tàu thường ít đông hơn. Nếu có thể, hãy linh hoạt thời gian làm việc để tránh giờ đông nhất.","MEO_GIO_CAO_DIEM|UNG_DUNG_DI_DONG","6 phút","Làm thế nào để di chuyển thoải mái trong giờ cao điểm? Đây là những bí quyết từ hành khách lâu năm.",1456
4,CONG_NGHE_METRO,"Công nghệ hiện đại trong hệ thống Metro TP.HCM","Phạm Văn Đức","2025-01-12 16:45:00",23,"/images/blog/metro-technology.jpg","Hệ thống Metro TP.HCM được trang bị những công nghệ tiên tiến nhất: Hệ thống điều khiển tàu tự động CBTC đảm bảo an toàn tuyệt đối, hệ thống thông tin hành khách real-time, cửa an toàn tại sân ga. Đặc biệt, hệ thống vé thông minh cho phép thanh toán bằng thẻ từ, QR code và NFC. Tất cả đều được vận hành bởi trung tâm điều khiển hiện đại 24/7.","UNG_DUNG_DI_DONG|VE_DIEN_TU","8 phút","Khám phá những công nghệ tối tân giúp Metro TP.HCM trở thành hệ thống giao thông thông minh.",654
5,THONG_TIN_LICH_TRINH,"Lịch trình tàu tuyến số 1 Bến Thành - Suối Tiên","Ngô Thị Hạnh","2025-01-11 11:30:00",56,"/images/blog/line1-schedule.jpg","Tuyến số 1 hoạt động từ 5:00 - 22:00 hàng ngày với tần suất 4-6 phút/chuyến. Chuyến đầu khởi hành từ Bến Thành lúc 5:15, chuyến cuối 21:45. Từ Suối Tiên, chuyến đầu 5:00 và chuyến cuối 22:00. Thời gian di chuyển toàn tuyến khoảng 45 phút, dừng tại 14 ga. Cuối tuần và lễ tết có thể điều chỉnh giãn cách 8-10 phút để bảo trì kỹ thuật.","THONG_TIN_LICH_TRINH|HUONG_DAN_NHA_GA","4 phút","Thông tin chi tiết về lịch trình và tần suất tàu tuyến số 1 để bạn dễ dàng lập kế hoạch di chuyển.",2103
6,KHUYEN_MAI,"Ưu đãi vé tháng cho sinh viên và người cao tuổi","Võ Minh Tâm","2025-01-10 13:20:00",134,"/images/blog/discount-tickets.jpg","Chương trình ưu đãi đặc biệt dành cho sinh viên và người trên 60 tuổi đã chính thức có hiệu lực. Sinh viên được giảm 30% giá vé tháng khi xuất trình thẻ sinh viên hợp lệ. Người cao tuổi từ 60 trở lên được giảm 50% mọi loại vé. Người khuyết tật và thương binh được miễn phí hoàn toàn. Thủ tục đăng ký đơn giản tại quầy dịch vụ khách hàng mọi nhà ga.","GIAM_GIA|VE_DIEN_TU|TIEN_NGHI_NGUOI_KHUYET_TAT","5 phút","Tiết kiệm chi phí di chuyển với các chương trình ưu đãi hấp dẫn dành cho nhiều đối tượng.",1789
7,THONG_BAO_CHUNG,"Khai trương ga Thảo Điền trên tuyến số 2","Đặng Văn Hùng","2025-01-09 07:00:00",89,"/images/blog/thao-dien-opening.jpg","Ga Thảo Điền chính thức đi vào hoạt động từ ngày 15/01/2025, đánh dấu cột mốc quan trọng trong phát triển mạng lưới Metro TP.HCM. Ga được thiết kế hiện đại với 2 tầng, tích hợp trung tâm thương mại và khu vực đỗ xe. Kết nối thuận tiện với các tuyến xe buýt số 18, 20 và 152. Dự kiến phục vụ 50,000 lượt khách/ngày, giảm áp lực giao thông khu vực quận 2.","KHAI_TRUONG_TUYEN_MOI|HUONG_DAN_NHA_GA","6 phút","Ga Thảo Điền mở cửa với nhiều tiện ích hiện đại, mang lại trải nghiệm mới cho hành khách khu Đông.",945
8,CAP_NHAT_DICH_VU,"Cập nhật bản đồ tuyến Metro mới nhất 2025","Hoàng Thị Lan","2025-01-08 15:40:00",67,"/images/blog/updated-map.jpg","Bản đồ hệ thống Metro TP.HCM đã được cập nhật với những thay đổi mới nhất. Tuyến số 3 Bến Thành - Tân Sơn Nhất đang trong giai đoạn hoàn thiện, dự kiến khai thác quý 3/2025. Tuyến số 4 và 5 đang trong giai đoạn khảo sát thiết kế. Ứng dụng Metro HCM cũng đã cập nhật bản đồ tương tác với tính năng định vị GPS và gợi ý tuyến đường tối ưu.","CAP_NHAT_BAN_DO|UNG_DUNG_DI_DONG","7 phút","Khám phá bản đồ Metro mới nhất với thông tin chi tiết về các tuyến đang và sắp hoạt động.",1324
9,MEO_CHO_HANH_KHACH,"Hướng dẫn sử dụng ứng dụng Metro HCM","Bùi Văn Khôi","2025-01-07 10:25:00",112,"/images/blog/mobile-app-guide.jpg","Ứng dụng Metro HCM là công cụ không thể thiếu cho mọi hành khách. Tải miễn phí trên App Store và Google Play, ứng dụng cung cấp: Bản đồ tương tác với định vị GPS, thông tin lịch trình real-time, tính năng mua vé trực tuyến, thông báo sự cố hoặc thay đổi lịch trình. Đăng ký tài khoản để lưu các tuyến đường yêu thích và nhận thông báo cá nhân hóa.","UNG_DUNG_DI_DONG|VE_DIEN_TU","8 phút","Tận dụng tối đa ứng dụng Metro HCM với hướng dẫn chi tiết từng tính năng.",2456
10,HUONG_DAN_AN_TOAN,"Quy trình xử lý đồ thất lạc tại hệ thống Metro","Châu Thị Mai","2025-01-06 12:10:00",43,"/images/blog/lost-and-found.jpg","Khi để quên đồ trên tàu hoặc trong ga, đừng lo lắng! Hệ thống Lost & Found của Metro hoạt động 24/7. Bước 1: Báo ngay cho nhân viên ga gần nhất hoặc gọi hotline 1900-1520. Bước 2: Mô tả chi tiết vật phẩm và địa điểm có thể để quên. Bước 3: Cung cấp thông tin liên lạc. Đồ thất lạc được bảo quản tại trung tâm 30 ngày, sau đó chuyển cơ quan chức năng theo quy định.","DO_THAT_LAC|HUONG_DAN_NHA_GA","5 phút","Quy trình tìm lại đồ thất lạc đơn giản và hiệu quả của hệ thống Metro TP.HCM.",789
